id,uri,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release
XcMAnKlTgXXK,roxanne,Arizona Zervas,single,pop rap,522489.0,True,ROXANNE,2019-10-10,1,1,0.621,0.601,6,-5.6160000000000005,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636,5,pop,401.0
2,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,tusa,KAROL G - Nicki Minaj,single,latin,12839172.0,False,Tusa,2019-11-07,1,1,0.8029999999999999,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,4,latin,373.0
3,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,dont start now,Dua Lipa,single,dance pop,20575026.0,False,Don't Start Now,2019-10-31,1,1,0.794,0.7929999999999999,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4,pop,380.0
4,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,circles,Post Malone,album,dfw rap,29173640.0,False,Hollywood's Bleeding,2019-09-06,6,17,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.5529999999999999,120.042,215280,4,rap,435.0
6,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,blinding lights,The Weeknd,single,canadian contemporary r&b,25562055,False,Blinding Lights,2019-11-29,1,1,0.513,0.7959999999999999,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573,4,r&b/soul,351.0
5,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,memories,Maroon 5,single,pop,27713137.0,False,Memories,2019-09-20,1,1,0.764,0.32,11,-7.209,1,0.0546,0.8370000000000001,0.0,0.0822,0.575,91.019,189486,4,pop,421.0
7,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,señorita,Shawn Mendes - Camila Cabello,album,canadian pop,29743681.0,False,Shawn Mendes (Deluxe),2019-06-19,1,16,0.759,0.5479999999999999,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.7490000000000001,116.967,190800,4,pop,514.0
8,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,ritmo,Black Eyed Peas - J Balvin,single,dance pop,4907118.0,True,RITMO (Bad Boys For Life),2019-10-12,1,1,0.721,0.716,10,-7.037000000000001,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714,4,pop,399.0
9,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,falling,Trevor Daniel,single,alternative r&b,504066.0,False,Falling,2018-10-05,1,1,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382,4,r&b/soul,771.0
10,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,album,electropop,34697267,False,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,2,14,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4,pop
11,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,single,electropop,34697267,False,everything i wanted,2019-11-13,1,1,0.7040000000000001,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,pop,367.0
12,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,someone you loved,Lewis Capaldi,album,pop,5649718.0,False,Divinely Uninspired To A Hellish Extent,2019-05-17,4,12,0.501,0.405,1,-5.678999999999999,1,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,182161,4,pop,547.0
13,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,the box,Roddy Ricch,album,melodic rap,4688338.0,True,Please Excuse Me For Being Antisocial,2019-12-06,2,16,0.8959999999999999,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4,rap,344.0
14,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,adore you,Harry Styles,album,pop,10361677.0,False,Fine Line,2019-12-13,3,12,0.6759999999999999,0.7709999999999999,8,-3.675,1,0.0483,0.0237,7.000000000000002e-06,0.102,0.569,99.048,207133,4,pop,337.0
15,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,ride it,Regard,single,edm,105987.0,False,Ride It,2019-07-26,1,1,0.88,0.7509999999999999,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,157606,4,dance/electronic,477.0
16,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,my oh my,Camila Cabello - DaBaby,album,dance pop,18673543.0,False,Romance,2019-12-06,4,14,0.7240000000000001,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,170746,4,pop,344.0
17,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,blackbear,single,pop,3657373.0,True,hot girl bummer,2019-08-23,1,1,0.778,0.5589999999999999,6,-7.109,0,0.0776,0.128,0.0,0.399,0.6779999999999999,129.989,185093,1,pop,449.0
18,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,lose you to love me,Selena Gomez,single,dance pop,23289724.0,False,Lose You To Love Me,2019-10-23,1,1,0.505,0.34,4,-9.005,1,0.0438,0.5760000000000001,0.0,0.21,0.0916,101.993,206459,4,pop,388.0
19,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c,vete,Bad Bunny,single,latin,26265604.0,True,Vete,2019-11-21,1,1,0.8859999999999999,0.672,1,-4.394,1,0.188,0.0363,8.78e-06,0.101,0.526,91.976,192024,4,latin,359.0
20,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,i dont care,Ed Sheeran - Justin Bieber,album,pop,71783101.0,False,No.6 Collaborations Project,2019-07-12,6,15,0.7979999999999999,0.6759999999999999,6,-5.041,1,0.0442,0.0902,0.0,0.0894,0.843,101.956,219947,4,pop,491.0
21,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,watermelon sugar,Harry Styles,album,pop,10361677.0,False,Fine Line,2019-12-13,2,12,0.5479999999999999,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4,pop,337.0
22,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,,,,,,,,,,,,,,,,,,,,,,,,,
23,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,china,Anuel AA - Daddy Yankee - KAROL G - J Balvin - Ozuna,single,latin,14877871,False,China,2019-07-19,1,1,0.7859999999999999,0.8079999999999999,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714,4,latin,484.0
24,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,beautiful people,Ed Sheeran - Khalid,album,pop,71783101.0,False,No.6 Collaborations Project,2019-07-12,1,15,0.64,0.647,5,-8.113999999999999,0,0.186,0.124,0.0,0.0801,0.546,92.979,197867,4,pop,491.0
25,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,highest in the room,Travis Scott,single,rap,13434540,True,HIGHEST IN THE ROOM,2019-10-04,1,1,0.598,0.4270000000000001,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4,rap,407.0
26,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,bop,DaBaby,album,north carolina hip hop,4807934.0,True,KIRK,2019-09-27,3,13,0.769,0.787,11,-3.909,1,0.3670000000000001,0.189,0.0,0.129,0.836,126.77,159715,4,hip hop,414.0
